City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
81,bardai,11.65,7.2333,16.89,13,0,4.16,NG,1738809438
82,saint-joseph,-21.3667,55.6167,26.21,80,48,1.2,RE,1738809439
83,port saint john's,-31.6229,29.5448,21.21,89,100,0.47,ZA,1738809441
84,kerikeri,-35.2268,173.9474,22.92,50,60,3.71,NZ,1738809442
85,dudinka,69.4058,86.1778,-21.47,99,87,3.26,RU,1738809443
86,puerto deseado,-47.7503,-65.8938,18.23,38,5,14.82,AR,1738809444
87,port elizabeth,-33.918,25.5701,19.06,99,100,0.89,ZA,1738809446
88,christchurch,-43.5333,172.6333,20.53,72,75,6.17,NZ,1738809275
89,ashkelon,31.6693,34.5715,13.03,62,98,13.28,IL,1738809449
90,el porvenir,13.7617,-87.3458,23.01,59,6,2.89,HN,1738809450
91,goroka,-6.0834,145.3873,23.93,65,87,3.1,PG,1738809451
92,tshabong,-26.05,22.45,24.96,44,17,5.94,BW,1738809452
93,aroma,15.8167,36.1333,22.8,67,0,3.35,SD,1738809453
94,al jawf,29.5,38.75,8.43,69,3,6.69,SA,1738809455
95,college,64.8569,-147.8028,-8.78,80,100,0.0,US,1738809456
96,guayaramerin,-10.8368,-65.3614,22.2,96,100,1.73,BO,1738809457
97,anshun,26.25,105.9333,2.47,94,100,3.18,CN,1738809458
98,sterling,39.0062,-77.4286,1.94,73,100,3.6,US,1738809459
99,inhambane,-23.865,35.3833,23.87,78,1,3.39,MZ,1738809462
100,la ronge,55.1001,-105.2842,-19.86,71,40,3.09,CA,1738809463
101,kurakhovo,47.9852,37.2821,-4.02,86,25,3.21,UA,1738809464
102,wuhai,39.6647,106.8122,-7.6,32,0,6.07,CN,1738809465
103,albany,42.6001,-73.9662,-8.77,73,99,0.45,US,1738809466
104,nar'yan-mar,67.6713,53.087,-8.27,90,100,8.27,RU,1738809467
105,howrah,22.5892,88.3103,23.0,73,5,3.6,IN,1738809469
106,jamestown,42.097,-79.2353,-4.69,67,100,3.6,US,1738809283
107,utrik,11.2278,169.8474,26.32,78,18,9.04,MH,1738809471
108,kailua-kona,19.6406,-155.9956,26.06,69,27,0.89,US,1738809356
109,catbalogan,11.85,124.9167,25.7,90,100,3.95,PH,1738809473
110,arteche,12.2645,125.4048,25.92,92,98,4.99,PH,1738809474
111,bereket,39.2446,55.5154,3.98,66,78,4.96,TM,1738809475
112,trashigang,27.3331,91.5542,12.98,70,60,0.99,BT,1738809477
113,alofi,-19.0595,-169.9187,28.94,79,40,5.14,NU,1738809478
114,tres arroyos,-38.3739,-60.2798,18.01,71,47,4.19,AR,1738809479
115,hasaki,35.7333,140.8333,6.2,27,0,6.76,JP,1738809480
116,ancud,-41.8697,-73.8203,13.43,89,77,4.2,CL,1738809481
117,smara,26.7384,-11.6719,14.69,36,0,2.62,EH,1738809482
118,badger,64.8,-147.5333,-8.82,87,100,0.0,US,1738809483
119,uturoa,-16.7333,-151.4333,27.86,74,22,4.96,PF,1738809485
120,mahibadhoo,3.7833,72.9667,27.37,69,75,4.83,MV,1738809486
121,vallenar,-28.5708,-70.7581,21.44,56,0,1.7,CL,1738809487
122,rongelap,11.1635,166.8941,26.49,81,13,8.45,MH,1738809488
123,zastron,-30.3023,27.084,18.96,70,99,0.93,ZA,1738809489
124,kone,-21.0595,164.8658,31.58,61,99,3.97,NC,1738809490
125,neverkino,52.7854,46.7417,-10.97,96,100,3.44,RU,1738809492
126,hadibu,12.65,54.0333,21.7,72,11,3.89,YE,1738809493
127,nelson bay,-32.7167,152.15,28.94,76,10,1.79,AU,1738809495
128,souillac,-20.5167,57.5167,26.21,89,20,1.54,MU,1738809496
129,yung shue wan,22.2333,114.1167,18.68,58,100,2.24,HK,1738809497
130,udachny,66.4167,112.4,-20.03,98,100,2.02,RU,1738809498
131,capayan,-28.761,-66.0502,30.46,45,13,2.78,AR,1738809499
132,eureka,40.8021,-124.1637,7.34,95,98,3.95,US,1738809501
133,susuman,62.7833,148.1667,-34.99,90,59,0.68,RU,1738809502
134,sitia,35.2,26.0986,8.81,57,93,17.96,GR,1738809220
135,charters towers,-20.1,146.2667,25.62,80,100,2.6,AU,1738809269
136,kavieng,-2.5744,150.7967,29.48,68,98,3.4,PG,1738809505
137,axim,4.8699,-2.2405,26.05,91,33,2.53,GH,1738809506
138,wailua homesteads,22.0669,-159.378,22.44,84,100,3.6,US,1738809508
139,fort bragg,35.139,-79.006,9.34,72,100,4.12,US,1738809510
140,damboa,11.156,12.7576,19.46,16,2,2.16,NG,1738809512
141,wynyard,-41.0,145.7167,17.88,66,21,6.26,AU,1738809513
142,rehoboth,-23.3167,17.0833,21.03,74,100,3.35,NA,1738809309
143,luba,3.4568,8.5547,26.82,84,100,2.77,GQ,1738809516
144,isangel,-19.55,169.2667,27.25,83,100,5.43,VU,1738809412
145,fiambala,-27.6871,-67.6149,25.66,53,84,5.28,AR,1738809518
146,remire-montjoly,4.9167,-52.2667,25.02,94,75,2.57,GF,1738809519
147,woolgoolga,-30.1106,153.2007,26.93,68,1,4.9,AU,1738809262
148,nova sintra,14.8667,-24.7167,22.37,67,29,9.43,CV,1738809522
149,yinzhu,35.8786,119.9753,2.91,22,69,6.48,CN,1738809523
150,hawaiian paradise park,19.5933,-154.9731,23.74,78,100,4.12,US,1738809308
151,prince rupert,54.3161,-130.3201,1.83,48,0,4.12,CA,1738809302
152,caldwell,43.6629,-116.6874,3.36,53,100,2.57,US,1738809526
153,intendente alvear,-35.2338,-63.592,17.73,96,5,3.01,AR,1738809528
154,bulungu,-4.55,18.6,22.34,90,100,0.31,CD,1738809530
155,kodiak,57.79,-152.4072,3.73,60,0,3.09,US,1738809531
156,qa'en,33.7265,59.1844,3.98,38,88,2.39,IR,1738809532
157,kati,12.7441,-8.0726,20.67,16,100,2.12,ML,1738809533
158,weno,7.4515,151.8468,25.97,94,100,4.63,FM,1738809534
159,homer,59.6425,-151.5483,-1.78,76,0,0.0,US,1738809535
160,kristiansund,63.1115,7.732,6.36,56,34,4.12,NO,1738809537
161,usta muhammad,28.1794,68.0445,13.78,16,0,2.33,PK,1738809538
162,greymouth,-42.4667,171.2,20.2,72,67,3.11,NZ,1738809539
163,lebu,-37.6167,-73.65,15.06,89,39,5.86,CL,1738809540
164,vilyuysk,63.7553,121.6247,-36.84,97,66,1.74,RU,1738809541
165,gannan,47.9147,123.5031,-17.24,80,93,4.09,CN,1738809542
166,tiksi,71.6872,128.8694,-29.73,97,100,3.12,RU,1738809544
167,igarka,67.4667,86.5833,-20.07,99,99,2.02,RU,1738809545
168,ribeira grande,38.5167,-28.7,17.65,94,61,7.15,PT,1738809546
169,kalmunai,7.4167,81.8167,27.43,68,100,3.89,LK,1738809547
170,talnakh,69.4865,88.3972,-25.05,100,99,3.23,RU,1738809548
171,panaba,21.2833,-88.2667,22.76,79,28,4.82,MX,1738809549
172,dzhalagash,45.0833,64.6667,-6.62,71,16,6.86,KZ,1738809550
173,kupang,-10.1667,123.5833,30.32,79,75,3.6,ID,1738809552
174,ruzayevka,54.0639,44.9509,-14.33,98,88,1.73,RU,1738809553
175,egilsstadir,65.2653,-14.3948,6.95,70,75,10.8,IS,1738809554
176,broken hill,-31.95,141.4333,36.69,24,0,5.31,AU,1738809555
177,tamanrasset,22.785,5.5228,11.95,62,40,2.57,DZ,1738809556
178,san pedro,14.35,121.0167,28.57,76,75,2.68,PH,1738809557
179,constantia,44.1833,28.65,-3.62,65,6,6.11,RO,1738809558
180,mineiros,-17.5694,-52.5511,19.69,90,100,1.82,BR,1738809560
181,turrialba,9.9047,-83.6835,24.14,100,100,0.96,CR,1738809561
182,acapulco de juarez,16.8634,-99.8901,27.9,65,75,2.57,MX,1738809562
183,anadyr,64.75,177.4833,-37.72,65,28,3.0,RU,1738809563
184,bismarck,46.8083,-100.7837,-12.97,76,100,6.17,US,1738809561
185,luau,-10.7073,22.2247,18.18,88,100,1.15,AO,1738809565
186,saldanha,-33.0117,17.9442,16.98,71,14,9.2,ZA,1738809567
187,kapa'a,22.0752,-159.319,23.18,84,100,3.6,US,1738809349
